igr	n_isolates	prevalence	avg_len	is_core_igr
Cluster_12744	1225	0.9951		True
Cluster_19073	1224	0.9943		True
Cluster_18701	1224	0.9943		True
Cluster_22978	1224	0.9943		True
Cluster_13608	1224	0.9943		True
Cluster_19658	1224	0.9943		True
Cluster_10074	1224	0.9943		True
Cluster_24613	1224	0.9943		True
Cluster_8327	1224	0.9943		True
Cluster_13384	1224	0.9943		True
Cluster_11279	1224	0.9943		True
Cluster_25681	1224	0.9943		True
Cluster_11893	1224	0.9943		True
Cluster_16664	1224	0.9943		True
Cluster_11517	1224	0.9943		True
Cluster_15710	1224	0.9943		True
Cluster_10936	1224	0.9943		True
Cluster_19032	1224	0.9943		True
Cluster_17696	1224	0.9943		True
Cluster_11516	1224	0.9943		True
Cluster_16770	1224	0.9943		True
Cluster_19745	1224	0.9943		True
Cluster_12446	1224	0.9943		True
Cluster_5183	1224	0.9943		True
Cluster_22322	1224	0.9943		True
Cluster_22657	1224	0.9943		True
Cluster_25398	1224	0.9943		True
Cluster_15830	1224	0.9943		True
Cluster_23304	1223	0.9935		True
Cluster_19670	1223	0.9935		True
Cluster_23303	1223	0.9935		True
Cluster_7515	1223	0.9935		True
Cluster_13367	1223	0.9935		True
Cluster_14898	1223	0.9935		True
Cluster_9092	1223	0.9935		True
Cluster_9955	1223	0.9935		True
Cluster_10672	1223	0.9935		True
Cluster_8388	1223	0.9935		True
Cluster_25839	1223	0.9935		True
Cluster_12569	1223	0.9935		True
Cluster_19870	1223	0.9935		True
Cluster_23297	1223	0.9935		True
Cluster_21132	1223	0.9935		True
Cluster_21230	1223	0.9935		True
Cluster_15315	1223	0.9935		True
Cluster_6431	1223	0.9935		True
Cluster_12800	1223	0.9935		True
Cluster_17300	1223	0.9935		True
Cluster_17687	1223	0.9935		True
Cluster_8320	1223	0.9935		True
Cluster_16863	1223	0.9935		True
Cluster_9778	1222	0.9927		True
Cluster_14038	1222	0.9927		True
Cluster_9181	1222	0.9927		True
Cluster_10298	1222	0.9927		True
Cluster_23230	1222	0.9927		True
Cluster_6528	1222	0.9927		True
Cluster_25399	1222	0.9927		True
Cluster_15523	1222	0.9927		True
Cluster_11865	1222	0.9927		True
Cluster_22785	1222	0.9927		True
